id,number,nationwide_number,name,original_name,sex,year_of_birth,nationality,military_civilian,selection,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,field21,eva_hrs_mission,total_eva_hrs
1013,411,259,"Kelly, Mark E.","Kelly, Mark E.",male,1964,U.S.,military,NASA- 16,1996,4,4,commander,2011,STS-134,STS-134,STS-134,STS-134,377,0,0,0
1014,412,260,"Tani, Daniel M.","Tani, Daniel M.",male,1961,U.S.,civilian,1996 NASA group,1996,1,2,MSP,2001,STS-108,STS-108,STS-108,STS-108,283,1,4.2,39.18
1015,412,260,"Tani, Daniel M.","Tani, Daniel M.",male,1961,U.S.,civilian,1996 NASA group,1996,2,2,MSP,2007,16,STS-120,ISS,STS-122,2880,5,34.98,39.18
1016,413,261,"Carey, Duane G.","Carey, Duane G.",male,1957,U.S.,military,NASA- 16,1996,1,1,pilot,2002,STS-109,STS-109,STS-109,STS-109,262,0,0,0
1017,414,262,"Massimino, Michael J.","Massimino, Michael J.",male,1962,U.S.,civilian,NASA- 16,1996,1,2,MSP,2002,STS-109,STS-109,STS-109,STS-109,262,2,14.77,30.74
1018,414,262,"Massimino, Michael J.","Massimino, Michael J.",male,1962,U.S.,civilian,NASA- 16,1996,2,2,MSP,2009,STS-125,STS-125,STS-125,STS-125,309,2,15.97,30.74
1019,415,263,"Frick, Stephen N.","Frick, Stephen N.",male,1964,U.S.,military,NASA- 16,1996,1,2,pilot,2002,STS-110,STS-110,STS-110,STS-110,260,0,0,0
1020,415,263,"Frick, Stephen N.","Frick, Stephen N.",male,1964,U.S.,military,NASA- 16,1996,2,2,commander,2008,STS-122,STS-122,STS-122,STS-122,306,0,0,0
1021,416,264,"Walheim, Rex J.","Walheim, Rex J.",male,1962,U.S.,military,1996 NASA group,1996,1,3,MSP,2002,STS-110,STS-110,STS-110,STS-110,259,2,34.6,56.73
1022,416,264,"Walheim, Rex J.","Walheim, Rex J.",male,1962,U.S.,military,1996 NASA group,1996,2,3,MSP,2008,STS-122,STS-122,STS-122,STS-122,306,3,22.13,56.73
1023,416,264,"Walheim, Rex J.","Walheim, Rex J.",male,1962,U.S.,military,1996 NASA group,1996,3,3,MSP,2011,STS-135,STS-135,STS-135,STS-135,306.5,0,0,56.73
1024,417,265,"Morin, Lee M.","Morin, Lee M.",male,1952,U.S.,military,NASA- 16,1996,1,1,MSP,2002,STS-110,STS-110,STS-110,STS-110,259,2,14.12,14.12
1025,418,4,"Vittori, Roverto","Vittori, Roverto",male,1964,Italy,military,1998 ESA Group,1998,1,3,flight engineer,2002,Soyuz TMA-34/TM-33,Soyuz TMA-34,Soyuz TMA-34,Soyuz TMA-33,237,0,0,0
1026,418,4,"Vittori, Roverto","Vittori, Roverto",male,1964,Italy,military,1998 ESA Group,1998,2,3,flight engineer,2005,Soyuz TMA-6/TMA-5,Soyuz TMA-6,Soyuz TMA-6,Soyuz TMA-5,237,0,0,0
1027,418,4,"Vittori, Roverto","Vittori, Roverto",male,1964,Italy,military,1998 ESA Group,1998,3,3,MSP,2011,STS-134,STS-134,STS-134,STS-134,377.65,0,0,0
1028,419,1,"Shuttleworth, M. Richard","Shuttleworth, M. Richard",male,1973,Republic of South Africa,civilian,Space Tourist 2,2001,1,1,Other (Space tourist),2002,Soyuz TM-34 / Soyuz TM-33,Soyuz TM-34,Soyuz TM-34,Soyuz TM-33,237,0,0,0
1029,420,266,"Lockhart, Paul S.","Lockhart, Paul S.",male,1956,U.S.,military,NASA- 16,1996,1,2,pilot,2002,STS-111,STS-111,STS-111,STS-111,332,0,0,0
1030,420,266,"Lockhart, Paul S.","Lockhart, Paul S.",male,1956,U.S.,military,NASA- 17,1996,2,2,pilot,2002,STS-113,STS-113,STS-113,STS-113,330,0,0,0
1031,421,9,"Perrin, Philippe","Perrin, Philippe",male,1963,France,military,CNES-3/EAC,1990,1,1,MSP,2002,STS-111,STS-111,STS-111,STS-111,332.58,3,19.52,19.52
1032,422,267,"Whitson, Peggy A.","Whitson, Peggy A.",female,1960,U.S.,civilian,1996 NASA group,1996,1,3,MSP,2002,5,STS-111,ISS,STS-113,4438,1,4.38,60.31
1033,422,267,"Whitson, Peggy A.","Whitson, Peggy A.",female,1960,U.S.,civilian,1996 NASA group,1996,2,3,flight engineer,2008,16,Soyuz TMA-11,ISS,Soyuz TMA-11,4603,5,35.35,60.31
1034,422,267,"Whitson, Peggy A.","Whitson, Peggy A.",female,1960,U.S.,civilian,1996 NASA group,1996,3,3,flight engineer,2016,50,Soyuz MS-03,ISS,Soyuz MS-04,6941,4,20.58,60.31
1035,423,97,"Treshchov, Sergei",Сергей Евгеньевич Трещёв,male,1958,U.S.S.R/Russia,civilian,NPOE-10,1992,1,1,flight engineer,2002,5,STS­111,ISS,STS­113,4438,1,5.35,5.35
1036,424,268,"Magnus, Sandra H.","Magnus, Sandra H.",female,1964,U.S.,civilian,NASA- 16,1996,1,3,MSP,2002,STS-112,STS-112,STS-112,STS-112,260,0,0,0
1037,424,268,"Magnus, Sandra H.","Magnus, Sandra H.",female,1964,U.S.,civilian,NASA- 16,1996,2,3,MSP,2008,18,STS-126,ISS,STS-119,3210,0,0,0
1038,424,268,"Magnus, Sandra H.","Magnus, Sandra H.",female,1964,U.S.,civilian,NASA- 16,1996,3,3,MSP,2011,STS-135,STS-135,STS-135,STS-135,306,0,0,0
1039,425,269,"Sellers, Piers J.","Sellers, Piers J.",male,1955,U.K./U.S.,civilian,NASA-16,1996,1,3,MSP,2002,STS-112,STS-112,STS-112,STS-112,259,3,19.68,41.17
1040,425,269,"Sellers, Piers J.","Sellers, Piers J.",male,1955,U.K./U.S.,civilian,NASA-16,1996,2,3,MSP,2006,STS-121,STS-121,STS-121,STS-121,306,3,21.48,41.17
1041,425,269,"Sellers, Piers J.","Sellers, Piers J.",male,1955,U.K./U.S.,civilian,NASA-16,1996,3,3,MSP,2010,STS-132,STS-132,STS-132,STS-132,282.5,0,0,41.17
1042,426,98,"Yurchikhin, Fyodor",Фёдор Николаевич Юрчихин,male,1959,U.S.S.R/Russia,civilian,RKKE-14,1997,1,5,MSP,2002,STS­112,STS­112,STS­112,STS­112,259,0,0,59.43
1043,426,98,"Yurchikhin, Fyodor",Фёдор Николаевич Юрчихин,male,1959,U.S.S.R/Russia,civilian,RKKE-14,1997,2,5,flight engineer,2007,15,Soyuz TMA­10,ISS,Soyuz TMA­10,4721,3,18.73,59.43
1044,426,98,"Yurchikhin, Fyodor",Фёдор Николаевич Юрчихин,male,1959,U.S.S.R/Russia,civilian,RKKE-14,1997,3,5,commander,2010,24,Soyuz TMA­19,ISS,Soyuz TMA­19,3919,2,13.17,59.43
1045,426,98,"Yurchikhin, Fyodor",Фёдор Николаевич Юрчихин,male,1959,U.S.S.R/Russia,civilian,RKKE-14,1997,4,5,commander,2013,36,Soyuz TMA­09M,ISS,Soyuz TMA­09M,3990,2,20.03,59.43
1046,426,98,"Yurchikhin, Fyodor",Фёдор Николаевич Юрчихин,male,1959,U.S.S.R/Russia,civilian,RKKE-14,1997,5,5,commander,2017,51,Soyuz MS-04,ISS,Soyuz MS-04,3258,1,7.5,59.43
1047,427,2,"De Winne, Frank","De Winne, Frank",male,1961,Belgium,military,EAC,1998,1,2,commander,2002,Soyuz TMA-1/TM-34,Soyuz TMA-1,Soyuz TMA-1,Soyuz TMA-34,261,0,0,0
1048,427,2,"De Winne, Frank","De Winne, Frank",male,1961,Belgium,military,EAC,1998,2,2,commander,2009,20,Soyuz TMA-15,ISS,Soyuz TMA-15,4508.6,0,0,0
1049,428,270,"Herrington, John B.","Herrington, John B.",male,1958,U.S.,military,NASA- 16,1996,1,1,MSP,2002,STS-113,STS-113,STS-113,STS-113,330,3,19.92,19.92
1050,429,271,"Pettit, Donald R.","Pettit, Donald R.",male,1955,U.S.,civilian,NASA-16,1996,1,3,flight engineer,2002,6,STS-113,ISS,Soyuz TMA-1,3865,2,13.28,13.28
1051,429,271,"Pettit, Donald R.","Pettit, Donald R.",male,1955,U.S.,civilian,NASA-16,1996,2,3,MSP,2008,STS-126,STS-126,STS-126,STS-126,380.5,0,0,13.28
1052,429,271,"Pettit, Donald R.","Pettit, Donald R.",male,1955,U.S.,civilian,NASA-16,1996,3,3,flight engineer,2011,30,Soyuz TMA-03M,ISS,Soyuz TMA-03M,4627,0,0,13.28
1053,430,272,"McCool, William C.","McCool, William C.",male,1961,U.S.,military,NASA- 16,1996,1,1,pilot,2003,STS-107,STS-107,STS-107,STS-107,382,0,0,0
1054,431,273,"Brown, David M.","Brown, David M.",male,1956,U.S.,military,NASA- 16,1996,1,1,MSP,2003,STS-107,STS-107,STS-107,STS-107,382,0,0,0
1055,432,274,"Clark, Laurel B.","Clark, Laurel B.",female,1961,U.S.,military,NASA- 16,1996,1,1,MSP,2003,STS-107,STS-107,STS-107,STS-107,382,0,0,0
1056,433,1,"Ramon, Ilan",אילן רמון,male,1954,Israel,military,1996 NASA Group,1996,1,1,PSP,2003,STS-107,STS-107,STS-107,Exploded,382.33,0,0,0
1057,434,1,"Yang, Liwei",杨利伟,male,1965,China,military,China-1,2003,1,1,commander,2005,Shenzhou 5,Shenzhou 5,Shenzhou 5,Shenzhou 5,21,0,0,0
1058,435,275,"Fincke, E. Michael","Fincke, E. Michael",male,1967,U.S.,military,NASA- 16,1996,1,3,flight engineer,2004,9,Soyuz TMA-4,ISS,Soyuz TMA-4,4501,4,15.75,48.61
1059,435,275,"Fincke, E. Michael","Fincke, E. Michael",male,1967,U.S.,military,NASA- 16,1996,2,3,commander,2009,18,Soyuz TMA-13,ISS,Soyuz TMA-13,4280,2,10.45,48.61
1060,435,275,"Fincke, E. Michael","Fincke, E. Michael",male,1967,U.S.,military,NASA- 16,1996,3,3,MSP,2011,STS-134,STS-134,STS-134,STS-134,378,3,22.42,48.61
1061,436,2,"Kuipers, Andre","Kuipers, Andre",male,1958,Netherland,civilian,1998 ESA Group,1998,1,2,flight engineer,2004,Soyuz TMA-4/TMA-3,Soyuz TMA-4,Soyuz TMA-4,Soyuz TMA-3,261,0,0,0
1062,436,2,"Kuipers, Andre","Kuipers, Andre",male,1958,Netherland,civilian,1998 ESA Group,1998,2,2,flight engineer,2012,30,Soyuz TMA-03M,ISS,Soyuz TMA-03M,4627,0,0,0
1063,437,99,"Shargin, Yuri",Юрий Георгиевич Шаргин,male,1960,U.S.S.R/Russia,military,MKS,1996,1,1,flight engineer,2004,Soyuz TMA­5,Soyuz TMA­5,Soyuz TMA­5,Soyuz TMA­5,237,0,0,0
1064,438,6,"Noguchi, Soichi",野口聡一,male,1965,Japan,civilian,NASDA-3,1996,1,2,MSP,2005,STS-114,STS-114,STS-114,STS-114,333.55,3,20.08,20.08
1065,438,6,"Noguchi, Soichi",野口聡一,male,1965,Japan,civilian,NASDA-3,1996,2,2,flight engineer,2009,22,Soyuz TMA-17,ISS,Soyuz TMA-17,3917.55,0,0,20.08
1066,439,276,"Camarda, Charles J.","Camarda, Charles J.",male,1952,U.S.,civilian,NASA- 16,1996,1,1,MSP,2005,STS-114,STS-114,STS-114,STS-114,333,0,0,0
1067,440,277,"Olsen, Gregory Hammond","Olsen, Gregory Hammond",male,1945,U.S.,civilian,NA,2004,1,1,Space tourist,2005,Soyuz TMA-7,Soyuz TMA-7,Soyuz TMA-7,Soyuz TMA-7,237.29,0,0,0
1068,441,2,"Fei, Junlong",费俊龙,male,1966,China,military,China-1,2005,1,1,commander,2005,Shenzhou 6,Shenzhou 6,Shenzhou 6,Shenzhou 6,115,0,0,0
1069,442,3,Nie Haisheng,聂海胜,male,1964,China,military,China-1,2005,1,2,flight engineer,2005,Shenzhou 6,Shenzhou 6,Shenzhou 6,Shenzhou 6,116,0,0,0
1070,442,3,Nie Haisheng,聂海胜,male,1964,China,military,China-1,2005,2,2,commander,2008,Shenzhou 10,Shenzhou 10,Shenzhou 10,Shenzhou 10,350,0,0,0
1071,443,1,"Pontes, Marcos Cesar","Pontes, Marcos Cesar",male,1963,Brazil,military,1998 NASA Group,1998,1,1,pilot,2006,Soyuz TMA-8,Soyuz TMA-8,Soyuz TMA-8,Soyuz TMA-7,237.28,0,0,0
1072,444,278,"Fossum, Michael E.","Fossum, Michael E.",male,1957,U.S.,civilian,NASA- 17,1998,1,3,MSP,2006,STS-121,STS-121,STS-121,STS-121,307,3,21.48,48.53
1073,444,278,"Fossum, Michael E.","Fossum, Michael E.",male,1957,U.S.,civilian,NASA- 17,1998,2,3,MSP,2008,STS-124,STS-124,STS-124,STS-124,330,3,20.53,48.53
1074,444,278,"Fossum, Michael E.","Fossum, Michael E.",male,1957,U.S.,civilian,NASA- 17,1998,3,3,commander,2011,28,Soyuz TMA-02M,ISS,Soyuz TMA-02M,4014,1,6.52,48.53
1075,445,279,"Nowak, Lisa M.","Nowak, Lisa M.",female,1963,U.S.,military,NASA-16,1996,1,1,MSP,2006,STS-121,STS-121,STS-121,STS-121,306,0,0,0
1076,446,280,"Wilson, Stephanie D.","Wilson, Stephanie D.",female,1966,U.S.,civilian,1996 NASA group,1996,1,3,MSP,2006,STS-121,STS-121,STS-121,STS-121,306,0,0,0
1077,446,280,"Wilson, Stephanie D.","Wilson, Stephanie D.",female,1966,U.S.,civilian,1996 NASA group,1996,2,3,MSP,2007,STS-120,STS-120,STS-120,STS-120,362,0,0,0
1078,446,280,"Wilson, Stephanie D.","Wilson, Stephanie D.",female,1966,U.S.,civilian,1996 NASA group,1996,3,3,MSP,2010,STS-131,STS-131,STS-131,STS-131,362,0,0,0
1079,447,281,"Ferguson, Christopher J.","Ferguson, Christopher J.",male,1961,U.S.,military,NASA- 17,1998,1,3,pilot,2006,STS-115,STS-115,STS-115,STS-115,283,0,0,0
1080,447,281,"Ferguson, Christopher J.","Ferguson, Christopher J.",male,1961,U.S.,military,NASA- 17,1998,2,3,commander,2008,STS-126,STS-126,STS-126,STS-126,380.5,0,0,0
1081,447,281,"Ferguson, Christopher J.","Ferguson, Christopher J.",male,1961,U.S.,military,NASA- 17,1998,3,3,commander,2011,STS-135,STS-135,STS-135,STS-135,306.5,0,0,0
1082,448,282,"Stefanyshyn-Piper, Heidemarie M.","Stefanyshyn-Piper, Heidemarie M.",female,1963,U.S.,military,1963 NASA group 2,1996,1,2,MSP,2002,STS-115,STS-115,STS-115,STS-115,288,2,13.13,33.7
1083,448,282,"Stefanyshyn-Piper, Heidemarie M.","Stefanyshyn-Piper, Heidemarie M.",female,1963,U.S.,military,1963 NASA group 2,1996,2,2,MSP,2008,STS-126,STS-126,STS-126,STS-126,360,3,20.57,33.7
1084,449,283,"Ansari, Anousheh",انوشه انصاری,female,1966,U.S.,civilian,N/A,2006,1,1,Other (space tourist),2006,Soyuz TMA-9,Soyuz TMA-9,Soyuz TMA-9,Soyuz TMA-8,261.525,0,0,0
1085,450,284,"Oefelein, William A.","Oefelein, William A.",male,1965,U.S.,military,NASA-17,1998,1,1,pilot,2006,STS-116,STS-116,STS-116,STS-116,308,0,0,0
1086,451,285,"Patrick, Nicholas J. M.","Patrick, Nicholas J. M.",male,1964,U.K./U.S.,civilian,NASA-17,1998,1,2,MSP,2006,STS-116,STS-116,STS-116,STS-116,308,0,0,18.23
1087,451,285,"Patrick, Nicholas J. M.","Patrick, Nicholas J. M.",male,1964,U.K./U.S.,civilian,NASA-17,1998,2,2,MSP,2010,STS-130,STS-130,STS-130,STS-130,330,3,18.23,18.23
1088,452,1,Christer Fuglesang,Christer Fuglesang,male,1957,Sweden,civilian,1992 ESA Group,1992,1,2,MSP,2006,STS-116,STS-116,STS-116,STS-116,308.73,3,18.23,31.9
1089,452,1,Christer Fuglesang,Christer Fuglesang,male,1957,Sweden,civilian,1992 ESA Group,1992,2,2,MSP,2009,STS-128,STS-128,STS-128,STS-128,332.9,2,13.67,31.9
1090,453,286,"Higginbotham, Joan E.","Higginbotham, Joan E.",female,1964,U.S.,civilian,NASA- 16,1996,1,1,MSP,2006,STS-116,STS-116,STS-116,STS-116,308,0,0,0
1091,454,287,"Williams, Sunita L.","Williams, Sunita L.",female,1965,U.S.,military,1998 NASA group,1998,1,1,MSP,2006,14,STS-116,ISS,STS-117,4674,4,28.28,50.67
1092,454,287,"Williams, Sunita L.","Williams, Sunita L.",female,1965,U.S.,military,1998 NASA group,1998,2,2,flight engineer,2012,32,Soyuz TMA-05M,ISS,Soyuz TMA-06M,3048,3,21.38,50.67
1093,455,100,"Kotov, Oleg",Олег Валериевич Котов,male,1965,U.S.S.R/Russia,military,MKS,1996,1,3,commander,2007,15,Soyuz TMA­10,ISS,Soyuz TMA­10,4721,2,11.05,36.7
1094,455,100,"Kotov, Oleg",Олег Валериевич Котов,male,1965,U.S.S.R/Russia,military,MKS,1996,2,3,commander,2009,22,Soyuz TMA­17,ISS,Soyuz TMA­17,3917,1,5.73,36.7
1095,455,100,"Kotov, Oleg",Олег Валериевич Котов,male,1965,U.S.S.R/Russia,military,MKS,1996,3,3,commander,2013,37,Soyuz TMA­10M,ISS,Soyuz TMA­10M,3990,3,19.92,36.7
1096,456,288,"Simonyi, Charles (Karoly)","Simonyi, Charles (Karoly)",male,1948,U.S.,civilian,N/A,2006,1,2,Other (space tourist),2007,Soyuz TMA-10,Soyuz TMA-10,Soyuz TMA-10,Soyuz TMA-10,331.4,0,0,0
1097,456,288,"Simonyi, Charles (Karoly)","Simonyi, Charles (Karoly)",male,1948,U.S.,civilian,N/A,2006,2,2,Other (space tourist),2009,Soyuz TMA-14,Soyuz TMA-14,Soyuz TMA-14,Soyuz TMA-14,307.85,0,0,0
1098,457,289,"Archambault, Lee J.","Archambault, Lee J.",male,1960,U.S.,military,NASA- 17,1998,1,2,pilot,2007,STS-117,STS-117,STS-117,STS-117,332,0,0,0
1099,457,289,"Archambault, Lee J.","Archambault, Lee J.",male,1960,U.S.,military,NASA- 17,1998,2,2,commander,2009,STS-119,STS-119,STS-119,STS-119,307.5,0,0,0
1100,458,290,"Swanson, Steven R.","Swanson, Steven R.",male,1960,U.S.,civilian,1998 NASA group,1998,1,3,MSP,2007,STS-117,STS-117,STS-117,STS-117,332.22,3,13.75,27.9
1101,458,290,"Swanson, Steven R.","Swanson, Steven R.",male,1960,U.S.,civilian,1998 NASA group,1998,2,3,MSP,2009,STS-119,STS-119,STS-119,STS-119,307.5,2,12.93,27.9
1102,458,290,"Swanson, Steven R.","Swanson, Steven R.",male,1960,U.S.,civilian,1998 NASA group,1998,3,3,flight engineer,2014,39,Soyuz TMA-12M,ISS,Soyuz TMA-12M,4007.13,0,0,27.9
1103,459,291,"Olivas, John D.","Olivas, John D.",male,1965,U.S.,civilian,NASA-17,1998,1,2,MSP,2007,STS-117,STS-117,STS-117,STS-117,332,2,14.22,34.47
1104,459,291,"Olivas, John D.","Olivas, John D.",male,1965,U.S.,civilian,NASA-17,1998,2,2,MSP,2009,STS-128,STS-128,STS-128,STS-128,333,3,20.25,34.47
1105,460,292,"Anderson, Clayton C.","Anderson, Clayton C.",male,1959,U.S.,civilian,NASA- 17,1998,1,2,flight engineer,2007,15,STS-117,ISS,STS-120,3642,3,18.13,38.46
1106,460,292,"Anderson, Clayton C.","Anderson, Clayton C.",male,1959,U.S.,civilian,NASA- 17,1998,2,2,MSP,2010,STS-131,STS-131,STS-131,STS-131,363,3,20.28,38.46
1107,461,293,"Caldwell, Tracy E.","Caldwell, Tracy E.",female,1969,U.S.,civilian,NASA- 17,1998,1,2,MSP,2007,STS-118,STS-118,STS-118,STS-118,306,0,0,22.81
1108,461,293,"Caldwell, Tracy E.","Caldwell, Tracy E.",female,1969,U.S.,civilian,NASA- 17,1998,2,2,flight engineer,2010,23,Soyuz TMA-18,ISS,Soyuz TMA-18,4220,3,22.81,22.81
1109,462,294,"Drew, Alvin Benjamin","Drew, Alvin B.",male,1962,U.S.,military,NASA- 18,2000,1,2,MSP,2007,STS-118,STS-118,STS-118,STS-118,306,0,0,12.8
1110,462,294,"Drew, Alvin Benjamin","Drew, Alvin B.",male,1962,U.S.,military,NASA- 18,2000,2,2,MSP,2011,STS-133,STS-133,STS-133,STS-133,307,2,12.8,12.8
1111,463,295,"Morgan, Barbara R.","Morgan, Barbara R.",female,1951,U.S.,civilian,NASA- 17,1998,1,1,MSP,2007,STS-118,STS-118,STS-118,STS-118,305,0,0,0
1112,464,1,"Shukor, Sheikh Muszaphar","Shukor, Sheikh Muszaphar",male,1972,Malysia,civilian,2006 Angkasawan Program,2006,1,1,Other (space tourist),2007,Soyuz TMA-11/10,Soyuz TMA-11,Soyuz TMA-11,Soyuz TMA-10,261.23,0,0,0
1113,465,296,"Zamka, George D.","Zamka, George D.",male,1962,U.S.,military,1998 NASA group,1998,1,2,pilot,2007,STS-120,STS-120,STS-120,STS-120,362,0,0,0
1114,465,296,"Zamka, George D.","Zamka, George D.",male,1962,U.S.,military,1998 NASA group,1998,2,2,commander,2010,STS-130,STS-130,STS-130,STS-130,306.1,0,0,0
1115,466,297,"Wheelock, Douglas H.","Wheelock, Douglas H.",male,1960,U.S.,military,1998 NASA group,1998,1,2,MSP,2007,STS-120,STS-120,STS-120,STS-120,360,3,20.68,41.5
1116,466,297,"Wheelock, Douglas H.","Wheelock, Douglas H.",male,1960,U.S.,military,1998 NASA group,1998,2,2,flight engineer,2010,24,Soyuz TMA-19,ISS,Soyuz TMA-19,3912,3,22.82,41.5
1117,467,5,"Nespoli, Paolo A.","Nespoli, Paolo A.",male,1957,Italy,military,1998 ESA Group,1998,1,3,MSP,2007,STS-120,STS-120,STS-120,STS-120,362.4,0,0,0
1118,467,5,"Nespoli, Paolo A.","Nespoli, Paolo A.",male,1957,Italy,military,1998 ESA Group,1998,2,3,flight engineer,2010,26,Soyuz TMA-20,ISS,Soyuz TMA-20,3823.28,0,0,0
1119,467,5,"Nespoli, Paolo A.","Nespoli, Paolo A.",male,1957,Italy,military,1998 ESA Group,1998,3,3,flight engineer,2017,52,Soyuz MS-05,ISS,Soyuz MS-05,3328.93,0,0,0
1120,468,298,"Poindexter, Alan G.","Poindexter, Alan G.",male,1961,U.S.,military,NASA-17,1998,1,2,pilot,2008,STS-122,STS-122,STS-122,STS-122,306,0,0,0
1121,468,298,"Poindexter, Alan G.","Poindexter, Alan G.",male,1961,U.S.,military,NASA-17,1998,2,2,commander,2010,STS-131,STS-131,STS-131,STS-131,363,0,0,0
1122,469,299,"Melvin, Leland D.","Melvin, Leland D.",male,1964,U.S.,civilian,NASA- 17,1998,1,2,MSP,2008,STS-122,STS-122,STS-122,STS-122,306,0,0,0
1123,469,299,"Melvin, Leland D.","Melvin, Leland D.",male,1964,U.S.,civilian,NASA- 17,1998,2,2,MSP,2009,STS-129,STS-129,STS-129,STS-129,259,0,0,0
1124,470,300,"Love, Stanley G.","Love, Stanley G.",male,1965,U.S.,civilian,NASA- 17,1998,1,1,MSP,2008,STS-122,STS-122,STS-122,STS-122,306,1,15.38,15.38
1125,471,301,"Johnson, Gregory H.","Johnson, Gregory H.",male,1962,U.S.,military,NASA- 17,1998,1,2,pilot,2008,STS-123,STS-123,STS-123,STS-123,378,0,0,0
1126,471,301,"Johnson, Gregory H.","Johnson, Gregory H.",male,1962,U.S.,military,NASA- 18,1998,2,2,pilot,2011,STS-134,STS-134,STS-134,STS-134,377,0,0,0
1127,472,302,"Behnken, Robert L.","Behnken, Robert L.",male,1970,U.S.,military,NASA- 18,2000,1,2,MSP,2008,STS-123,STS-123,STS-123,STS-123,378,3,19.32,37.54
1128,472,302,"Behnken, Robert L.","Behnken, Robert L.",male,1970,U.S.,military,NASA- 18,2000,2,2,MSP,2010,STS-130,STS-130,STS-130,STS-130,330,3,18.23,37.54
1129,473,303,"Foreman, Michael J.","Foreman, Michael J.",male,1957,U.S.,military,NASA- 17,1998,1,2,MSP,2008,STS-123,STS-123,STS-123,STS-123,378,3,19.57,32.31
1130,473,303,"Foreman, Michael J.","Foreman, Michael J.",male,1957,U.S.,military,NASA- 17,1998,2,2,MSP,2009,STS-129,STS-129,STS-129,STS-129,259,2,12.75,32.31
1131,474,304,"Reisman, Garrett E.","Reisman, Garrett E.",male,1968,U.S.,civilian,NASA-17,1998,1,2,flight engineer,2008,16,STS-123,ISS,STS-124,2289,1,7,21.2
1132,474,304,"Reisman, Garrett E.","Reisman, Garrett E.",male,1968,U.S.,civilian,NASA-17,1998,2,2,MSP,2010,STS-132,STS-132,STS-132,STS-132,282,2,14.18,21.2
1133,475,101,"Volkov, Sergei",Сергей Александрович Волков,male,1973,U.S.S.R/Russia,military,TsPK-12,1997,1,3,commander,2008,17,Soyuz TMA­12,ISS,Soyuz TMA­12,4768,2,12.2,23.28
1134,475,101,"Volkov, Sergei",Сергей Александрович Волков,male,1973,U.S.S.R/Russia,military,TsPK-12,1997,2,3,commander,2011,28,Soyuz TMA­02M,ISS,Soyuz TMA­02M,4014,1,6.367,23.28
1135,475,101,"Volkov, Sergei",Сергей Александрович Волков,male,1973,U.S.S.R/Russia,military,TsPK-12,1997,3,3,commander,2015,45,Soyuz TMA­18M,ISS,Soyuz TMA­18M,4003,1,4.72,23.28
1136,476,102,"Kononenko, Oleg D.",Олег Дмитриевич Кононенко,male,1964,U.S.S.R/Russia,military,MKS,1996,1,4,flight engineer,2008,17,Soyuz TMA­12,ISS,Soyuz TMA­12,3168,2,12.2,32.2
1137,476,102,"Kononenko, Oleg D.",Олег Дмитриевич Кононенко,male,1964,U.S.S.R/Russia,military,MKS,1996,2,4,commander,2011,30,Soyuz TMA­03M,ISS,Soyuz TMA­03M,4626,1,6.25,32.2
1138,476,102,"Kononenko, Oleg D.",Олег Дмитриевич Кононенко,male,1964,U.S.S.R/Russia,military,MKS,1996,3,4,commander,2015,44,Soyuz TMA­17M,ISS,Soyuz TMA­17M,3400,0,0,32.2
1139,476,102,"Kononenko, Oleg D.",Олег Дмитриевич Кононенко,male,1964,U.S.S.R/Russia,military,MKS,1996,4,4,commander,2018,57,Soyuz MS-11,ISS,Soyuz MS-11,4887,2,13.75,32.2
1140,477,1,"Yi, Soyeon (Lee So-hyun)",이소연,female,1978,Korea,civilian,South Korea,2006,1,1,Other (Space tourist),2008,Soyuz TMA-12 / Soyuz TMA-11,Soyuz TMA-12,Soyuz TMA-12,Soyuz TMA-11,261,0,0,0
1141,478,305,"Ham, Kenneth T.","Ham, Kenneth T.",male,1964,U.S.,military,NASA Astronaut Group 17,1998,1,2,pilot,2008,STS-124,STS-124,STS-124,STS-124,330,0,0,0
1142,478,305,"Ham, Kenneth T.","Ham, Kenneth T.",male,1964,U.S.,military,NASA Astronaut Group 18,1998,2,2,commander,2010,STS-132,STS-132,STS-132,STS-132,282,0,0,0
1143,479,306,"Nyberg, Karen L.","Nyberg, Karen L.",female,1969,U.S.,civilian,NASA- 18,2000,1,2,MSP,2008,STS-124,STS-124,STS-124,STS-124,330,0,0,0
1144,479,306,"Nyberg, Karen L.","Nyberg, Karen L.",female,1969,U.S.,civilian,NASA- 18,2000,2,2,flight engineer,2013,36,Soyuz TMA-09M,ISS,Soyuz TMA-09M,3990,0,0,0
1145,480,307,"Garan, Ronald J., Jr.","Garan, Ronald J., Jr.",male,1961,U.S.,military,NASA Astronaut Group 18,2000,1,2,MSP,2008,STS-124,STS-124,STS-124,STS-124,330,3,20.5,27
1146,480,307,"Garan, Ronald J., Jr.","Garan, Ronald J., Jr.",male,1961,U.S.,military,NASA Astronaut Group 18,2000,2,2,MSP,2008,27,soyuz TMA-21,ISS,soyuz TMA-21,3942,1,6.5,27
1147,481,7,"Hoshide, Akihiko",星出彰彦,male,1968,Japan,civilian,NASDA-4,1999,1,2,MSP,2008,STS-124,STS-124,STS-124,STS-124,306.25,0,0,21.38
