id,number,nationwide_number,name,original_name,sex,year_of_birth,nationality,military_civilian,selection,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,field21,eva_hrs_mission,total_eva_hrs
753,313,198,"Halsell, James D., Jr.","Halsell, James D., Jr.",male,1956,U.S.,military,NASA Astronaut Group 16,1990,4,5,commander,1997,STS-94,STS-94,STS-94,STS-94,376,0,0,0
754,313,198,"Halsell, James D., Jr.","Halsell, James D., Jr.",male,1956,U.S.,military,NASA Astronaut Group 17,1990,5,5,commander,2000,STS-101,STS-101,STS-101,STS-101,237,0,0,0
755,314,199,"Chiao, Leroy","Chiao, Leroy",male,1960,U.S.,civilian,NASA- 13,1990,1,4,MSP,1994,STS-65,STS-65,STS-65,STS-65,354,0,0,36.09
756,314,199,"Chiao, Leroy","Chiao, Leroy",male,1960,U.S.,civilian,NASA- 13,1990,2,4,MSP,1996,STS-72,STS-72,STS-72,STS-72,214,2,12.85,36.09
757,314,199,"Chiao, Leroy","Chiao, Leroy",male,1960,U.S.,civilian,NASA- 13,1990,3,4,MSP,2000,STS-92,STS-92,STS-92,STS-92,310,2,13.27,36.09
758,314,199,"Chiao, Leroy","Chiao, Leroy",male,1960,U.S.,civilian,NASA- 13,1990,4,4,commander,2004,10,Soyuz TMA-5,ISS,Soyuz TMA-5,4627,2,9.97,36.09
759,315,200,"Thomas, Donald A.","Thomas, Donald A.",male,1955,U.S.,civilian,1990 NASA group,1990,1,4,MSP,1994,STS-65,STS-65,STS-65,STS-65,353,0,0,0
760,315,200,"Thomas, Donald A.","Thomas, Donald A.",male,1955,U.S.,civilian,1990 NASA group,1990,2,4,MSP,1995,STS-70,STS-70,STS-70,STS-70,214,0,0,0
761,315,200,"Thomas, Donald A.","Thomas, Donald A.",male,1955,U.S.,civilian,1990 NASA group,1990,3,4,MSP,1997,STS-83,STS-83,STS-83,STS-83,95,0,0,0
762,315,200,"Thomas, Donald A.","Thomas, Donald A.",male,1955,U.S.,civilian,1990 NASA group,1990,4,4,MSP,1997,STS-94,STS-94,STS-94,STS-94,376,0,0,0
763,316,3,"Mukai, Chiaki",向井千秋,female,1952,Japan,civilian,NASDA-1,1985,1,2,PSP,1994,STS-65,STS-65,STS-65,STS-65,354,0,0,0
764,316,3,"Mukai, Chiaki",向井千秋,female,1952,Japan,civilian,NASDA-1,1985,2,2,PSP,1998,STS-95,STS-95,STS-95,STS-95,214,0,0,0
765,317,210,"Linenger, Jerry M.","Linenger, Jerry M.",male,1955,U.S.,military,NASA- 14,1992,1,2,MSP,1994,STS-64,STS-64,STS-64,STS-64,262,0,0,0
766,317,210,"Linenger, Jerry M.","Linenger, Jerry M.",male,1955,U.S.,military,NASA- 15,1992,2,2,MSP,1997,22,STS-81,Mir,STS-84,3172,0,0,0
767,318,202,"Wilcutt, Terrence W.","Wilcutt, Terrence W.",male,1949,U.S.,military,1990 NASA group,1990,1,4,pilot,1994,STS-68,STS-68,STS-68,STS-68,269,0,0,0
768,318,202,"Wilcutt, Terrence W.","Wilcutt, Terrence W.",male,1949,U.S.,military,1990 NASA group,1990,2,4,pilot,1996,STS-79,STS-79,STS-79,STS-79,243,0,0,0
769,318,202,"Wilcutt, Terrence W.","Wilcutt, Terrence W.",male,1949,U.S.,military,1990 NASA group,1990,3,4,commander,1998,STS-89,STS-89,STS-89,STS-89,211,0,0,0
770,318,202,"Wilcutt, Terrence W.","Wilcutt, Terrence W.",male,1949,U.S.,military,1990 NASA group,1990,4,4,commander,2000,STS-106,STS-106,STS-106,STS-106,283,0,0,0
771,319,203,"Smith, Steven L.","Smith, Steven L.",male,1958,U.S.,civilian,1992 NASA group,1992,1,4,MSP,1994,STS-68,STS-68,STS-68,STS-68,264,0,0,49.8
772,319,203,"Smith, Steven L.","Smith, Steven L.",male,1958,U.S.,civilian,1993 NASA group,1992,2,4,MSP,1997,STS-82,STS-82,STS-82,STS-82,240,3,19.17,49.8
773,319,203,"Smith, Steven L.","Smith, Steven L.",male,1958,U.S.,civilian,1994 NASA group,1992,3,4,MSP,1999,STS-103,STS-103,STS-103,STS-103,192,2,16.38,49.8
774,319,203,"Smith, Steven L.","Smith, Steven L.",male,1958,U.S.,civilian,1995 NASA group,1992,4,4,MSP,2002,STS-110,STS-110,STS-110,STS-110,264,2,14.25,49.8
